"Date,""Total Activated Balancing Energy UP"",""Total Activated Balancing Energy Down"",""Total Activated Balancing Energy"",""Imbalance Price"",""mFRR Price Down"""
2020-11-05 01:00:00,243.1179,9.82385,233.29405,91.22999997,0
2020-11-05 01:15:00,194.607,100.93765,93.66935,96.71,13.04
2020-11-05 01:30:00,233.86896,60.98815,172.88081,91.22999999,-15.0
2020-11-05 01:45:00,237.99736,62.04039,175.95697,91.22999998,-15.0
2020-11-05 02:00:00,260.57319,163.17921,97.39398,91.38594239,-15.0
2020-11-05 02:15:00,230.78117,200.4673,30.31387,97.61442404,-15.0
2020-11-05 02:30:00,197.306,211.72033,-14.41433,-15.0,-15.0
2020-11-05 02:45:00,213.19596,211.44148,1.75448,98.70999999,-15.0
2020-11-05 03:00:00,239.73252,196.80123,42.93129,91.23017219,-15.0
2020-11-05 03:15:00,199.667,208.20451,-8.53751,-15.0,-15.0
2020-11-05 03:30:00,198.195,211.17124,-12.97624,-15.0,-15.0
2020-11-05 03:45:00,203.379,211.23397,-7.85497000000001,-15.0,-15.0
2020-11-05 04:00:00,205.56,202.05727,3.50273000000001,91.23,-15.0
2020-11-05 04:15:00,218.202,202.79893,15.40307,96.71,-15.0
2020-11-05 04:30:00,200.339,101.41191,98.92709,98.71,-15.0
2020-11-05 04:45:00,256.11528,62.31642,193.79886,98.70999996,-15.0
2020-11-05 05:00:00,236.15911,81.4289,154.73021,91.5702925,-15.0
2020-11-05 05:15:00,243.70543,76.63376,167.07167,91.69584711,-15.0
2020-11-05 05:30:00,179.04531,67.76201,111.2833,97.60999994,-15.0
2020-11-05 05:45:00,273.89531,53.76171,220.1336,98.11780238,-15.0
2020-11-05 06:00:00,228.33273,109.37792,118.95481,88.12759568,-5.1
2020-11-05 06:15:00,204.84063,198.63553,6.20510000000002,99.10999995,-15.0
2020-11-05 06:30:00,212.97325,237.12328,-24.15003,-15.0,-15.0
2020-11-05 06:45:00,245.89136,107.12207,138.76929,98.70999997,32.99
2020-11-05 07:00:00,195.79461,198.16277,-2.36815999999999,-1.24359839,-0.96
2020-11-05 07:15:00,152.272,167.99781,-15.72581,-1.09446037,-0.95
2020-11-05 07:30:00,160.80172,147.45853,13.34319,91.22999996,-0.93
2020-11-05 07:45:00,167.42023,114.79176,52.62847,73.43999999,37.3
2020-11-05 08:00:00,158.04092,150.95263,7.08829,99.30999996,-0.93
2020-11-05 08:15:00,102.12995,81.73424,20.39571,98.70999995,-0.91
2020-11-05 08:30:00,92.35434,75.8173,16.53704,98.60999999,-0.91
2020-11-05 08:45:00,91.24026,71.89766,19.3426,98.60999999,-0.91
2020-11-05 09:00:00,103.09893,66.83904,36.25989,98.80999996,-0.9
2020-11-05 09:15:00,74.76252,49.39934,25.36318,98.60999999,-0.9
2020-11-05 09:30:00,87.89406,66.48556,21.4085,98.70999999,-0.9
2020-11-05 09:45:00,63.49359,86.00407,-22.51048,-0.91428432,-0.91
2020-11-05 10:00:00,100.65962,51.91385,48.74577,98.60999999,-0.9
2020-11-05 10:15:00,83.112,67.42764,15.68436,91.23,-0.9
2020-11-05 10:30:00,70.968,65.32487,5.64313,91.23,28
2020-11-05 10:45:00,62.426,65.16181,-2.73581,17.95167381,28
2020-11-05 11:00:00,84.9615,54.26807,30.69343,91.23,-0.9
2020-11-05 11:15:00,80.62637,85.91688,-5.29051000000001,-0.7456378,-0.9
2020-11-05 11:30:00,77.304,84.80219,-7.49818999999999,16.81391612,30.22
2020-11-05 11:45:00,65.319,79.56944,-14.25044,17.23133572,30.22
2020-11-05 12:00:00,103.946,90.06408,13.88192,89.51,-0.9
2020-11-05 12:15:00,78.188,97.14183,-18.95383,-0.76933456,-0.91
2020-11-05 12:30:00,80.97726,83.56766,-2.5904,26.72360395,34.34
2020-11-05 12:45:00,71.501,99.16755,-27.66655,-1.30641352,-0.91
2020-11-05 13:00:00,79.661,67.08588,12.57512,89.51,0.1
2020-11-05 13:15:00,64.881,72.70669,-7.82568999999999,-0.64282611,0.1
2020-11-05 13:30:00,45.861,74.2456,-28.3846,18.24866028,33.76
2020-11-05 13:45:00,37.965,82.15955,-44.19455,-0.85901581,-0.9
2020-11-05 14:00:00,38.063,67.80472,-29.74172,19.11267079,33.93
2020-11-05 14:15:00,41.815,64.48494,-22.66994,18.06410619,33.93
